date,description,amount,balance,account_code,account_name,financial_year,period
2025-03-03,"Cheque Card Purchase - Clutch Brake (27 Feb)",-1518,,5001,"Cost of Goods Sold",2026,March 2025
2025-03-03,"Bolsa Third Party Payment - Pioneer Foods",11080.25,,4001,"Sales / Revenue",2026,March 2025
2025-03-04,"IB Payment To - Midas Part Center",-2216.49,,5001,"Cost of Goods Sold",2026,March 2025
2025-03-04,"Fee - Electronic Account Payment",-5.8,,6004,"Bank Charges",2026,March 2025
2025-03-05,"Credit Transfer - Invoice 2762",19587.38,,4001,"Sales / Revenue",2026,March 2025
2025-03-05,"Magtape Credit - Invoice 2764",1642.78,,4001,"Sales / Revenue",2026,March 2025
2025-03-06,"Cheque Card Purchase - Markham Paarl (04 Mar)",-315,,1702,"Director's Loan Account",2026,March 2025
2025-03-06,"Immediate Payment - A H Johnson",-15000,,6022,"Director's Remuneration",2026,March 2025
2025-03-06,"Fee - Immediate Payment",-50,,6004,"Bank Charges",2026,March 2025
2025-03-06,"Fee: Payment Confirm - SMS (A H Johnson)",-1.2,,6004,"Bank Charges",2026,March 2025
2025-03-06,"IB Payment From - Bothma Fencing",2665.71,,4001,"Sales / Revenue",2026,March 2025
2025-03-06,"Cheque Card Purchase - C*Die Visfabr (05 Mar)",-251.3,,1702,"Director's Loan Account",2026,March 2025
2025-03-07,"Credit Transfer - Alexander Rouvier Tr",3875.5,,4001,"Sales / Revenue",2026,March 2025
2025-03-07,"Cheque Card Purchase - Ultra Liquors (04 Mar)",-219.99,,1702,"Director's Loan Account",2026,March 2025
2025-03-07,"Other Bank ATM Cash Withdrawal - SBSA",-1200,,1702,"Director's Loan Account",2026,March 2025
2025-03-07,"Cheque Card Purchase - Autokolor Paarl (04 Mar)",-399.95,,5001,"Cost of Goods Sold",2026,March 2025
2025-03-07,"Cash Withdrawal Fee",-30.6,,6004,"Bank Charges",2026,March 2025
2025-03-08,"Fee: Electricity Purchase",-1.8,,6020,"Utilities",2026,March 2025
2025-03-08,"Cheque Card Purchase - IK *Hydraberg (06 Mar)",-98.67,,5001,"Cost of Goods Sold",2026,March 2025
2025-03-08,"Cheque Card Purchase - Spar Express (05 Mar)",-55,,1702,"Director's Loan Account",2026,March 2025
2025-03-08,"Cheque Card Purchase - Slagerij Van (06 Mar)",-178.54,,1702,"Director's Loan Account",2026,March 2025
2025-03-08,"Electricity Purchase",-100,,6020,"Utilities",2026,March 2025
2025-03-08,"Cheque Card Purchase - C*Diesel Elec (06 Mar)",-346.38,,5001,"Cost of Goods Sold",2026,March 2025
2025-03-08,"Cheque Card Purchase - Pet & Pool Paarl (06 Mar)",-499.95,,1702,"Director's Loan Account",2026,March 2025
2025-03-08,"Immediate Payment - Mr D Williams",-750,,6022,"Director's Remuneration",2026,March 2025
2025-03-08,"Fee: Payment Confirm - SMS (Mr D Williams)",-1.2,,6004,"Bank Charges",2026,March 2025
2025-03-08,"Fee - Immediate Payment",-10,,6004,"Bank Charges",2026,March 2025
2025-03-10,"Electricity Purchase",-500,,6020,"Utilities",2026,March 2025
2025-03-10,"Cheque Card Purchase - Engen Mbekweni (07 Mar)",-500,,6023,"Fuel / Petrol",2026,March 2025
2025-03-10,"Cheque Card Purchase - C*BP Paarl (07 Mar)",-205.84,,6023,"Fuel / Petrol",2026,March 2025
2025-03-10,"Fee: Electricity Purchase",-1.8,,6020,"Utilities",2026,March 2025
2025-03-11,"Fee - Electronic Account Payment",-5.8,,6004,"Bank Charges",2026,March 2025
2025-03-11,"IB Payment To - Dr Gustave Haai (Doctor)",-400,,1702,"Director's Loan Account",2026,March 2025
2025-03-11,"IB Payment To - Saldanha Baai Munisipaliteit (Liëntjies)",-1000,,1702,"Director's Loan Account",2026,March 2025
2025-03-11,"Cheque Card Purchase - C*Wynland Motors (08 Mar)",-800,,6011,"Motor Vehicle Expenses",2026,March 2025
2025-03-11,"Cheque Card Purchase - Boland Hair Studio (08 Mar)",-60,,1702,"Director's Loan Account",2026,March 2025
2025-03-11,"Fee: Payment Confirm - Email (Lisa)",-0.8,,6004,"Bank Charges",2026,March 2025
2025-03-11,"Fee - Electronic Account Payment",-5.8,,6004,"Bank Charges",2026,March 2025
2025-03-11,"Fee: Payment Confirm - Email (Dr Gustave Haai)",-0.8,,6004,"Bank Charges",2026,March 2025
2025-03-11,"Cheque Card Purchase - Game Paarl (08 Mar)",-300,,1702,"Director's Loan Account",2026,March 2025
2025-03-12,"Cheque Card Purchase - C*Franschhoek (11 Mar)",-41,,1702,"Director's Loan Account",2026,March 2025
