date,description,amount,balance,account_code,account_name,financial_year,period
2025-03-01,"Service Agreement - Tracker 00CLI2129149TR76759B",-569.57,15372.3,6008,"Insurance",2026,March 2025
2025-03-05,"Debit Transfer - LOM/LEPP Leppard P51 024233",-581,14791.3,6018,"Telephone",2026,March 2025
2025-03-26,"Credit Transfer - Cashfocus Salaris/Salary",103423.13,118214.43,4001,"Sales / Revenue",2026,March 2025
2025-03-28,"Fee: Payment Confirm - Email Larry Gabler",-0.8,14890.43,6004,"Bank Charges",2026,March 2025
2025-03-28,"IB Payment To - Register Domain SA Domain",-240,42934.43,6017,"Subscriptions",2026,March 2025
2025-03-28,"Immediate Payment - 232199868 Larry Gabler [Funeral Expenses]",-12307.1,,5003,"Funeral Expenses",2026,March 2025
2025-03-28,"Immediate Payment - 232199868 Larry Gabler [Subcontractors]",-4711.53,,5004,"Subcontractors",2026,March 2025
2025-03-28,"Immediate Payment - 232199868 Larry Gabler [Remuneration]",-2981.37,,6022,"Director's Remuneration",2026,March 2025
2025-03-28,"Fee: Payment Confirm - Email Larry Gabler",-0.8,14891.23,6004,"Bank Charges",2026,March 2025
2025-03-28,"Fee Immediate Payment",-40,14894.43,6004,"Bank Charges",2026,March 2025
2025-03-28,"Immediate Payment - 231995928 Larry Gabler [Subcontractors]",-11778.82,,5004,"Subcontractors",2026,March 2025
2025-03-28,"Fee: Payment Confirm - Email Kainos Propety Absa",-0.8,14893.63,6004,"Bank Charges",2026,March 2025
2025-03-28,"Fee: Payment Confirm - Email Register Domain",-0.8,14892.03,6004,"Bank Charges",2026,March 2025
2025-03-28,"IB Payment To - Moonstone Compliance",-3500,43174.43,6017,"Subscriptions",2026,March 2025
2025-03-28,"Immediate Payment - 231995928 Larry Gabler [Funeral Expenses]",-30767.76,,5003,"Funeral Expenses",2026,March 2025
2025-03-28,"Immediate Payment - 231995928 Larry Gabler [Remuneration]",-7453.42,,6022,"Director's Remuneration",2026,March 2025
2025-03-28,"IB Payment To - Kainos Propety Absa Rent",-21500,46674.43,6014,"Rent",2026,March 2025
2025-03-28,"Fee: Payment Confirm - Email Moonstone Compliance",-0.8,14892.83,6004,"Bank Charges",2026,March 2025
2025-03-28,"Fee Immediate Payment",-40,68174.43,6004,"Bank Charges",2026,March 2025
2025-03-28,"IB Payment To - Secfire Investments Rental",-8000,34934.43,5003,"Funeral Expenses",2026,March 2025
2025-03-31,"Service Fee",-75.6,14814.83,6004,"Bank Charges",2026,March 2025
2025-03-31,"Monthly Management Fee",-95,14719.83,6004,"Bank Charges",2026,March 2025
2025-04-01,"Service Agreement - Tracker 00CLI2129149TR524786",-569.57,13569.26,6008,"Insurance",2026,April 2025
2025-04-01,"Debit Transfer - LOM/LEPP Leppard P51 024233",-581,14138.83,6018,"Telephone",2026,April 2025
2025-04-07,"Fee: Payment Confirm - Email Kainos Propety Absa",-0.8,11791.46,6004,"Bank Charges",2026,April 2025
2025-04-07,"IB Payment To - Kainos Propety Absa Rent",-1777,11792.26,6014,"Rent",2026,April 2025
2025-04-25,"Credit Transfer - Cashfocus Salaris/Salary",79713.42,91504.88,4001,"Sales / Revenue",2026,April 2025
2025-04-26,"Fee: Payment Confirm - Email Moonstone Compliance",-0.8,7223.28,6004,"Bank Charges",2026,April 2025
2025-04-26,"Immediate Payment - 236700305 Larry Gabler [Subcontractors]",-11778.82,,5004,"Subcontractors",2026,April 2025
2025-04-26,"Immediate Payment - 236700305 Larry Gabler [Funeral Expenses]",-30767.76,,5003,"Funeral Expenses",2026,April 2025
2025-04-26,"IB Payment To - Kainos Propety Absa Rent",-22500,57264.88,6014,"Rent",2026,April 2025
2025-04-26,"IB Payment To - Register Domain SA Domain",-240,83264.88,6017,"Subscriptions",2026,April 2025
2025-04-26,"IB Payment To - Moonstone Compliance",-3500,79764.88,6017,"Subscriptions",2026,April 2025
2025-04-26,"Immediate Payment - 236700305 Larry Gabler [Remuneration]",-7453.42,,6022,"Director's Remuneration",2026,April 2025
2025-04-26,"Fee Immediate Payment",-40,7224.88,6004,"Bank Charges",2026,April 2025
2025-04-26,"Fee: Payment Confirm - Email Register Domain",-0.8,7224.08,6004,"Bank Charges",2026,April 2025
2025-04-26,"Fee: Payment Confirm - Email Kainos Propety Absa",-0.8,7222.48,6004,"Bank Charges",2026,April 2025
2025-04-26,"IB Payment To - Secfire Investments Rental",-8000,83504.88,5003,"Funeral Expenses",2026,April 2025
2025-04-30,"Service Fee",-84.5,7137.98,6004,"Bank Charges",2026,April 2025
2025-04-30,"Monthly Management Fee",-95,7042.98,6004,"Bank Charges",2026,April 2025
2025-05-02,"Service Agreement - Tracker 00CLI2129149TRB33426",-569.55,6473.43,6008,"Insurance",2026,May 2025
2025-05-02,"Debit Transfer - LOM/LEPP Leppard P51 024233",-581,5892.43,6018,"Telephone",2026,May 2025
2025-05-26,"Credit Transfer - Cashfocus Salaris/Salary",109634.72,115527.15,4001,"Sales / Revenue",2026,May 2025
2025-05-29,"IB Payment To - Kainos Propety Absa Rent",-23540,91987.15,6014,"Rent",2026,May 2025
2025-05-29,"Fee: Payment Confirm - Email Larry Gabler",-0.8,10203.95,6004,"Bank Charges",2026,May 2025
2025-05-29,"Immediate Payment - 241914428 Larry Gabler [Subcontractors]",-16490.35,,5004,"Subcontractors",2026,May 2025
2025-05-29,"Fee: Payment Confirm - Email Register Domain",-0.8,10204.75,6004,"Bank Charges",2026,May 2025
2025-05-29,"IB Payment To - Secfire Investments Rental",-8000,80247.15,5003,"Funeral Expenses",2026,May 2025
2025-05-29,"IB Payment To - Register Domain SA Domain",-240,88247.15,6017,"Subscriptions",2026,May 2025
2025-05-29,"Immediate Payment - 241914428 Larry Gabler [Funeral Expenses]",-43074.87,,5003,"Funeral Expenses",2026,May 2025
2025-05-29,"Immediate Payment - 241914428 Larry Gabler [Remuneration]",-10434.78,,6022,"Director's Remuneration",2026,May 2025
2025-05-29,"Fee: Payment Confirm - Email Moonstone Compliance",-0.8,10205.55,6004,"Bank Charges",2026,May 2025
2025-05-29,"Fee Immediate Payment",-40,10207.15,6004,"Bank Charges",2026,May 2025
2025-05-29,"Fee: Payment Confirm - Email Kainos Propety Absa",-0.8,10206.35,6004,"Bank Charges",2026,May 2025
2025-05-29,"IB Payment To - Moonstone Compliance",-3500,88487.15,6017,"Subscriptions",2026,May 2025
2025-05-31,"Monthly Management Fee",-95,10033.35,6004,"Bank Charges",2026,May 2025
2025-05-31,"Service Fee",-75.6,10128.35,6004,"Bank Charges",2026,May 2025
2025-06-02,"Service Agreement - Tracker 00CLI2129149TRJ00678",-569.57,9463.78,6008,"Insurance",2026,June 2025
2025-06-02,"Debit Transfer - LOM/LEPP Leppard P51 024233",-581,8882.78,6018,"Telephone",2026,June 2025
2025-06-26,"Credit Transfer - Cashfocus Salaris/Salary",143637.46,152520.24,4001,"Sales / Revenue",2026,June 2025
2025-06-27,"Immediate Payment - 246885970 Larry Gabler [Subcontractors]",-23557.64,,5004,"Subcontractors",2026,June 2025
2025-06-27,"Fee: Payment Confirm - Email Kainos Propety Absa",-0.8,18261.44,6004,"Bank Charges",2026,June 2025
2025-06-27,"Fee: Payment Confirm - Email Moonstone Compliance",-0.8,18260.64,6004,"Bank Charges",2026,June 2025
2025-06-27,"IB Payment To - Secfire Investments Rental",-8000,18262.24,5003,"Funeral Expenses",2026,June 2025
2025-06-27,"IB Payment To - Kainos Propety Absa Rent",-22478,130042.24,6014,"Rent",2026,June 2025
2025-06-27,"Immediate Payment - 246885970 Larry Gabler [Remuneration]",-14906.83,,6022,"Director's Remuneration",2026,June 2025
2025-06-27,"IB Payment To - Register Domain SA Domain",-240,126302.24,6017,"Subscriptions",2026,June 2025
2025-06-27,"Fee: Payment Confirm - Email Register Domain",-0.8,18259.84,6004,"Bank Charges",2026,June 2025
2025-06-27,"Fee Immediate Payment",-40,26262.24,6004,"Bank Charges",2026,June 2025
2025-06-27,"Immediate Payment - 246885970 Larry Gabler [Funeral Expenses]",-61535.53,,5003,"Funeral Expenses",2026,June 2025
2025-06-27,"IB Payment To - Moonstone Compliance",-3500,126542.24,6017,"Subscriptions",2026,June 2025
2025-06-30,"Monthly Management Fee",-95,3049.24,6004,"Bank Charges",2026,June 2025
2025-06-30,"Service Fee",-75.6,3144.24,6004,"Bank Charges",2026,June 2025
2025-06-30,"Immediate Payment - 247252313 Larry Gabler",-15000,3259.84,6022,"Director's Remuneration",2026,June 2025
2025-06-30,"Fee Immediate Payment",-40,3219.84,6004,"Bank Charges",2026,June 2025
2025-06-30,"Fee: Payment Confirm - Email Larry Gabler",-0.8,3048.44,6004,"Bank Charges",2026,June 2025
2025-07-01,"Debit Transfer - LOM/LEPP Leppard P51 024233",-581,2467.44,6018,"Telephone",2026,July 2025
2025-07-01,"Service Agreement - Tracker 00CLI2129149TRO19437",-569.57,1897.87,6008,"Insurance",2026,July 2025
2025-07-25,"Credit Transfer - Cashfocus Salaris/Salary",161198.84,163096.71,4001,"Sales / Revenue",2026,July 2025
2025-07-26,"Fee: Payment Confirm - Email Larry Gabler",-0.8,48313.51,6004,"Bank Charges",2026,July 2025
2025-07-26,"IB Payment To - Secfire Investments Rental",-8000,128596.71,5003,"Funeral Expenses",2026,July 2025
2025-07-26,"Immediate Payment - 251275058 Larry Gabler [Remuneration]",-11925.47,,6022,"Director's Remuneration",2026,July 2025
2025-07-26,"Immediate Payment - 251275058 Larry Gabler [Funeral Expenses]",-49228.42,,5003,"Funeral Expenses",2026,July 2025
2025-07-26,"Fee: Payment Confirm - Email Moonstone Compliance",-0.8,48315.11,6004,"Bank Charges",2026,July 2025
2025-07-26,"Fee: Payment Confirm - Email Register Domain",-0.8,48314.31,6004,"Bank Charges",2026,July 2025
2025-07-26,"IB Payment To - Moonstone Compliance",-3500,136596.71,6017,"Subscriptions",2026,July 2025
2025-07-26,"Fee Immediate Payment",-40,48316.71,6004,"Bank Charges",2026,July 2025
2025-07-26,"IB Payment To - Kainos Propety Absa Rent",-23000,140096.71,6014,"Rent",2026,July 2025
2025-07-26,"IB Payment To - Register Domain SA Domain",-240,128356.71,6017,"Subscriptions",2026,July 2025
2025-07-26,"Immediate Payment - 251275058 Larry Gabler [Subcontractors]",-18846.11,,5004,"Subcontractors",2026,July 2025
2025-07-26,"Fee: Payment Confirm - Email Kainos Propety Absa",-0.8,48315.91,6004,"Bank Charges",2026,July 2025
2025-07-31,"Monthly Management Fee",-95,48142.91,6004,"Bank Charges",2026,July 2025
2025-07-31,"Service Fee",-75.6,48237.91,6004,"Bank Charges",2026,July 2025
2025-08-01,"Immediate Payment - 252212310 Larry Gabler",-30000,18142.91,6022,"Director's Remuneration",2026,August 2025
2025-08-01,"Fee: Payment Confirm - Email Larry Gabler",-0.8,16951.54,6004,"Bank Charges",2026,August 2025
2025-08-01,"Fee Immediate Payment",-40,18102.91,6004,"Bank Charges",2026,August 2025
2025-08-01,"Debit Transfer - LOM/LEPP Leppard P51 024233",-581,16952.34,6018,"Telephone",2026,August 2025
2025-08-01,"Service Agreement - Tracker 00CLI2129149TRW19611",-569.57,17533.34,6008,"Insurance",2026,August 2025
2025-08-27,"Credit Transfer - Cashfocus Salaris/Salary",105648.16,122599.7,4001,"Sales / Revenue",2026,August 2025
2025-08-28,"Fee: Payment Confirm - Email Moonstone Compliance",-0.8,23571.1,6004,"Bank Charges",2026,August 2025
2025-08-28,"Fee Immediate Payment",-40,23572.7,6004,"Bank Charges",2026,August 2025
2025-08-28,"Fee: Payment Confirm - Email Kainos Propety Absa",-0.8,23571.9,6004,"Bank Charges",2026,August 2025
2025-08-28,"Immediate Payment - 256491948 Larry Gabler [Remuneration]",-10434.78,,6022,"Director's Remuneration",2026,August 2025
2025-08-28,"IB Payment To - Kainos Propety Absa Rent",-24747,97852.7,6014,"Rent",2026,August 2025
2025-08-28,"Immediate Payment - 256491948 Larry Gabler [Subcontractors]",-16490.35,,5004,"Subcontractors",2026,August 2025
2025-08-28,"IB Payment To - Register Domain SA Domain",-240,93612.7,6017,"Subscriptions",2026,August 2025
2025-08-28,"IB Payment To - Moonstone Compliance",-4000,93852.7,6017,"Subscriptions",2026,August 2025
2025-08-28,"Fee: Payment Confirm - Email Register Domain",-0.8,23570.3,6004,"Bank Charges",2026,August 2025
2025-08-28,"Immediate Payment - 256491948 Larry Gabler [Funeral Expenses]",-43074.87,,5003,"Funeral Expenses",2026,August 2025
2025-08-30,"Service Fee",-66.7,23503.6,6004,"Bank Charges",2026,August 2025
2025-08-30,"Monthly Management Fee",-95,23408.6,6004,"Bank Charges",2026,August 2025
2025-09-01,"Debit Transfer - LOM/LEPP Leppard P51 024233",-581,22258.03,6018,"Telephone",2026,September 2025
2025-09-01,"Service Agreement - Tracker 00CLI2129149TRBM3619",-569.57,22839.03,6008,"Insurance",2026,September 2025
2025-09-26,"Credit Transfer - Cashfocus Salaris/Salary",82388.5,104646.53,4001,"Sales / Revenue",2026,September 2025
2025-09-27,"Immediate Payment - 260707393 Larry Gabler [Remuneration]",-7453.42,,6022,"Director's Remuneration",2026,September 2025
2025-09-27,"Fee: Payment Confirm - Email Kainos Propety Absa",-0.8,25315.73,6004,"Bank Charges",2026,September 2025
2025-09-27,"IB Payment To - Register Domain SA Domain",-240,75356.53,6017,"Subscriptions",2026,September 2025
2025-09-27,"Fee: Payment Confirm - Email Register Domain",-0.8,25314.13,6004,"Bank Charges",2026,September 2025
2025-09-27,"IB Payment To - Kainos Propety Absa Rent",-25050,79596.53,6014,"Rent",2026,September 2025
2025-09-27,"Fee: Payment Confirm - Email Larry Gabler",-0.8,25313.33,6004,"Bank Charges",2026,September 2025
2025-09-27,"Fee: Payment Confirm - Email Moonstone Compliance",-0.8,25314.93,6004,"Bank Charges",2026,September 2025
2025-09-27,"Immediate Payment - 260707393 Larry Gabler [Funeral Expenses]",-30767.76,,5003,"Funeral Expenses",2026,September 2025
2025-09-27,"Fee Immediate Payment",-40,25316.53,6004,"Bank Charges",2026,September 2025
2025-09-27,"IB Payment To - Moonstone Compliance",-4000,75596.53,6017,"Subscriptions",2026,September 2025
2025-09-27,"Immediate Payment - 260707393 Larry Gabler [Subcontractors]",-11778.82,,5004,"Subcontractors",2026,September 2025
2025-09-30,"Service Fee",-66.7,25246.63,6004,"Bank Charges",2026,September 2025
2025-09-30,"Monthly Management Fee",-95,25151.63,6004,"Bank Charges",2026,September 2025
2025-10-01,"IB Payment To - IPIC Properties Office Rent",-13422,11729.63,5003,"Funeral Expenses",2026,October 2025
2025-10-01,"Debit Transfer - LOM/LEPP Leppard P51 024233",-581,11148.63,6018,"Telephone",2026,October 2025
2025-10-01,"Fee: Payment Confirm - Email IPIC Properties",-0.8,10521.7,6004,"Bank Charges",2026,October 2025
2025-10-01,"Service Agreement - Tracker 00CLI2129149TRDV3598",-626.13,10522.5,6008,"Insurance",2026,October 2025
2025-10-09,"Magtape Credit - CLS:GAB028927",1843.14,12364.84,4001,"Sales / Revenue",2026,October 2025
2025-10-30,"Credit Transfer - Cashfocus Salaris/Salary",144603.9,156968.74,4001,"Sales / Revenue",2026,October 2025
2025-10-31,"Fee: Payment Confirm - Email Larry Gabler",-0.8,34472.28,6004,"Bank Charges",2026,October 2025
2025-10-31,"IB Payment To - Kainos Propety Absa Rent",-24612,128356.74,6014,"Rent",2026,October 2025
2025-10-31,"Monthly Management Fee",-95,34476.28,6004,"Bank Charges",2026,October 2025
2025-10-31,"Service Fee",-84.5,34571.28,6004,"Bank Charges",2026,October 2025
2025-10-31,"Immediate Payment - 265977480 Larry Gabler [Funeral Expenses]",-49228.42,,5003,"Funeral Expenses",2026,October 2025
2025-10-31,"IB Payment To - IPIC Properties Office Rent",-13420.96,114935.78,5003,"Funeral Expenses",2026,October 2025
2025-10-31,"Fee: Payment Confirm - Email Register Domain",-0.8,34473.08,6004,"Bank Charges",2026,October 2025
2025-10-31,"IB Payment To - Moonstone Compliance",-4000,152968.74,6017,"Subscriptions",2026,October 2025
2025-10-31,"Immediate Payment - 265977480 Larry Gabler [Subcontractors]",-18846.11,,5004,"Subcontractors",2026,October 2025
2025-10-31,"Fee: Payment Confirm - Email Moonstone Compliance",-0.8,34475.48,6004,"Bank Charges",2026,October 2025
2025-10-31,"Fee Immediate Payment",-40,34655.78,6004,"Bank Charges",2026,October 2025
2025-10-31,"Immediate Payment - 265977480 Larry Gabler [Remuneration]",-11925.47,,6022,"Director's Remuneration",2026,October 2025
2025-10-31,"Fee: Payment Confirm - Email Kainos Propety Absa",-0.8,34474.68,6004,"Bank Charges",2026,October 2025
2025-10-31,"IB Payment To - Register Domain SA Domain",-240,114695.78,6017,"Subscriptions",2026,October 2025
2025-10-31,"Fee: Payment Confirm - Email IPIC Properties",-0.8,34473.88,6004,"Bank Charges",2026,October 2025
2025-11-01,"Immediate Payment - 266543634 Larry Gabler [Funeral Expenses]",-1230.71,,5003,"Funeral Expenses",2026,November 2025
2025-11-01,"Fee: Payment Confirm - Email Larry Gabler",-0.8,13184.35,6004,"Bank Charges",2026,November 2025
2025-11-01,"Immediate Payment - 266543634 Larry Gabler [Remuneration]",-298.14,,6022,"Director's Remuneration",2026,November 2025
2025-11-01,"Fee: Payment Confirm - Email Larry Gabler",-0.8,13183.55,6004,"Bank Charges",2026,November 2025
2025-11-01,"Fee Immediate Payment",-40,32432.28,6004,"Bank Charges",2026,November 2025
2025-11-01,"Immediate Payment - 266543634 Larry Gabler [Subcontractors]",-471.15,,5004,"Subcontractors",2026,November 2025
2025-11-01,"Immediate Payment - 266543700 Larry Gabler [Remuneration]",-2683.23,,6022,"Director's Remuneration",2026,November 2025
2025-11-01,"Debit Transfer - LOM/LEPP Leppard P51 024233",-581,13185.15,6018,"Telephone",2026,November 2025
2025-11-01,"Immediate Payment - 266543700 Larry Gabler [Funeral Expenses]",-11076.39,,5003,"Funeral Expenses",2026,November 2025
2025-11-01,"Immediate Payment - 266543700 Larry Gabler [Subcontractors]",-4240.38,,5004,"Subcontractors",2026,November 2025
2025-11-01,"Fee Immediate Payment",-40,14392.28,6004,"Bank Charges",2026,November 2025
2025-11-01,"Service Agreement - Tracker 00CLI2129149TRGI8606",-626.13,13766.15,6008,"Insurance",2026,November 2025
2025-11-26,"Credit Transfer - Cashfocus Salaris/Salary",89532.94,102716.49,4001,"Sales / Revenue",2026,November 2025
2025-11-27,"IB Payment To - Moonstone Compliance",-4000,73674.49,6017,"Subscriptions",2026,November 2025
2025-11-27,"Fee: Payment Confirm - Email Larry Gabler",-0.8,23631.29,6004,"Bank Charges",2026,November 2025
2025-11-27,"Immediate Payment - 269908883 Larry Gabler [Subcontractors]",-11778.82,,5004,"Subcontractors",2026,November 2025
2025-11-27,"Fee: Payment Confirm - Email Register Domain",-0.8,23632.89,6004,"Bank Charges",2026,November 2025
